author_id,author_name,author_affiliation_name
36142496900,"Yaacob, Zulnaidi",Universiti Utara Malaysia
56120947300,"Ismail, Risyawati Binti Mohamed",Universiti Utara Malaysia
57209790734,"Ahmad, Faudziah",Universiti Utara Malaysia
56446493900,"Daud, Ali Yusny",Universiti Utara Malaysia
56901294600,"Martadha Mohamed, Ahmad",Universiti Utara Malaysia
55863578100,"Minai, Sobri Mohd",Universiti Utara Malaysia
35172709300,"Chandren, S.",Universiti Utara Malaysia
6506447536,"Dahalan, Jauhari",Universiti Utara Malaysia
55879629300,"Rofie, Mohamad Khadafi Hj",Universiti Utara Malaysia
57190413358,"Usman, Abbo",Universiti Utara Malaysia
56022788800,"Ahmad, Hartini B.",Universiti Utara Malaysia
57204789187,"Zakaria, Nazlina",Universiti Utara Malaysia
57200990264,"Yasin, Mazlan",Universiti Utara Malaysia
57171448800,"Rahman, Siti Fatimah Abdul",Universiti Utara Malaysia
55505666600,"Abdullah, Nik Ab H.B.N.",Universiti Utara Malaysia
57190121683,"Felix, Chikelu Okey",Universiti Utara Malaysia
55213924800,"Zainab, I.",Universiti Utara Malaysia
55907349500,"Ku Mahamud, K. R.",Universiti Utara Malaysia
55990781400,"Khan, Shazida Jan Mohd",Universiti Utara Malaysia
57014402600,"Saad, Adi Lukman",Universiti Utara Malaysia
55195869500,"Adam, Siti Aishah",Universiti Utara Malaysia
55391673400,"Hossain, M. K.",Universiti Utara Malaysia
57193169218,"Annamalai, Subashini",Universiti Utara Malaysia
6505710759,"Shiratuddin, Mohd Fairuz",Universiti Utara Malaysia
15077946500,"Hussain, Hanizan Shaker",Universiti Utara Malaysia
57193270409,"Phang, Siew Nooi",Universiti Utara Malaysia
50861727500,"Nordin, Norani Binti",Universiti Utara Malaysia
36914701400,"Abdullah, Kamarulnizam",Universiti Utara Malaysia
55636728000,"Nizam, Asmat",Universiti Utara Malaysia
57009038000,"Akbar Noor Mohamad Noor, Mohamad",Universiti Utara Malaysia
57195771001,"Nik Mustapa, Nik Ruslawati",Universiti Utara Malaysia
56050769100,"Razimi, Mohd Shahril Ahmad",Universiti Utara Malaysia
56186407900,"Tahir, Hatim Mohamad",Universiti Utara Malaysia
57205546143,"Khan, Salman",Universiti Utara Malaysia
57056432400,"Egdair, Ibrahim",Universiti Utara Malaysia
15219390900,"Bush, Tony",Universiti Utara Malaysia
55951665600,"Othman, Mahmod",Universiti Utara Malaysia
57191249951,"Alaudin, Ros Idayuwati",Universiti Utara Malaysia
6506034921,"Salhieh, Loay Mohammed",Universiti Utara Malaysia
57193818884,"Nadzir, M. M.",Universiti Utara Malaysia
57191221006,"Ayuba, Augustine",Universiti Utara Malaysia
56481587600,"Danlami, Abubakar Hamid",Universiti Utara Malaysia
56644551800,"Selliah, Sivarajasingham",Universiti Utara Malaysia
55101870300,"Kadir, Kadzrina Abdul",Universiti Utara Malaysia
55534026500,"Akhadkulov, Habibulla",Universiti Utara Malaysia
56443872300,"Abidin, Irwan Shah Zainal",Universiti Utara Malaysia
57195694021,"Bakar, Juhaida Abu",Universiti Utara Malaysia
24528128600,"Deraman, Aziz",Universiti Utara Malaysia
15055461100,"Baten, Azizul",Universiti Utara Malaysia
37017470800,"Mahmood, Rosli",Universiti Utara Malaysia
12784847800,"Islam, Rafikul",Universiti Utara Malaysia
8286581600,"Hassan, Shahizan",Universiti Utara Malaysia
57192803559,"Salleh, Nurul ‘Aaina Binti",Universiti Utara Malaysia
57188927877,"Nayan, Sabri",Universiti Utara Malaysia
56951111900,"ChePa, N.",Universiti Utara Malaysia
56906856700,"Farzana, Kazi Fahmida",Universiti Utara Malaysia
55636728000,"Abdul Talib, Asmat Nizam",Universiti Utara Malaysia
57200578356,"Rateb, Roqia",Universiti Utara Malaysia
55930710200,"Mei, Tang Swee",Universiti Utara Malaysia
6505943332,"Djauhari, Maman Abdurachman",Universiti Utara Malaysia
22733659800,"Desa, Mohammad I.",Universiti Utara Malaysia
57204888588,"Mia, Shahin",Universiti Utara Malaysia
56166066700,"Mousa, Ayad Hameed",Universiti Utara Malaysia
57192073079,"Hanafi, Abdul Ghafur",Universiti Utara Malaysia
56468046000,"Gunarhadi, ",Universiti Utara Malaysia
16644211500,"Yusop, Nor Iadah",Universiti Utara Malaysia
